"Latitude","Longitude","Query","Size"
40.717882,-74.015087,"River",6
40.733505,-74.01088,"River",6
40.713142,-73.97917,"River",6
40.76878,-74.01686,"River",6
40.760541,-74.003735,"River",6
40.767626,-74.001214,"River",6
40.720894,-73.964586,"River",6
40.72333,-73.997984,"River",6
40.76878,-74.01686,"River",7
40.809299,-73.934799,"River",5
40.76878,-74.01686,"River",6
40.809299,-73.934799,"River",6
40.76878,-74.01686,"River",6
40.736958,-74.010108,"River",6
40.744307,-73.959668,"River",6
40.722031,-73.957578,"River",6
40.756156,-73.973792,"River",6
40.703073,-73.994464,"River",6
40.751509,-74.008426,"River",7
40.74257,-73.933539,"River",5
40.73522,-74.010458,"River",6
40.710542,-74.018144,"River",6
40.711373,-74.01784,"River",6
40.76878,-74.01686,"River",5
40.738863,-74.026698,"River",6
40.713083,-73.970507,"River",6
40.779721,-73.988761,"River",7
40.720756,-74.000761,"River",7
40.779721,-73.988761,"River",6
40.779721,-73.988761,"River",6
40.754623,-73.998611,"River",7
40.764504,-73.995836,"River",6
40.769573,-73.934987,"River",6
40.7142,-74.0064,"River",6
40.716698,-74.000016,"River",6
40.716698,-74.000016,"River",6
40.76878,-74.01686,"River",6
40.716698,-74.000016,"River",7
40.742773,-73.985275,"River",6
40.738863,-74.026698,"River",7
40.76878,-74.01686,"River",7
40.695362,-73.946637,"River",7
40.735396,-74.010236,"River",5
40.76878,-74.01686,"River",6
40.716243,-74.032964,"River",6
40.809299,-73.934799,"River",6
40.761591,-73.96895,"River",6
40.76878,-74.01686,"River",6
40.703069,-73.989692,"River",7
40.76878,-74.01686,"River",6
40.726736,-73.99557,"River",6
40.716698,-74.000016,"River",7
40.779721,-73.988761,"River",8
40.76878,-74.01686,"River",7
40.773502,-73.962188,"River",6
40.716698,-74.000016,"River",6
40.76878,-74.01686,"River",7
40.76878,-74.01686,"River",6
40.716243,-74.032964,"River",5
40.716243,-74.032964,"River",6
40.738863,-74.026698,"River",6
40.733505,-74.01088,"River",6
40.744307,-73.959668,"River",8
40.74424,-74.006199,"River",6
40.74424,-74.006199,"River",6
40.721585,-74.000201,"River",7
40.76878,-74.01686,"River",6
40.720894,-73.964586,"River",6
40.721531,-73.962351,"River",6
40.74424,-74.006199,"River",6
40.720659,-73.962304,"River",6
40.721585,-74.000201,"River",5
40.779721,-73.988761,"River",6
40.779721,-73.988761,"River",6
40.76878,-74.01686,"River",6
40.76878,-74.01686,"River",6
40.772931,-73.915814,"River",6
40.773029,-73.915886,"River",7
40.724054,-73.971405,"River",7
40.738863,-74.026698,"River",6
40.73317,-74.012802,"River",6
40.76878,-74.01686,"River",7
40.70832,-73.94903,"River",7
40.716698,-74.000016,"River",6
40.76878,-74.01686,"River",6
40.750741,-73.912432,"River",6
40.76878,-74.01686,"River",6
40.76878,-74.01686,"River",8
40.758455,-73.989984,"River",6
40.737548,-73.990273,"River",6
40.738863,-74.026698,"River",6
40.738863,-74.026698,"River",6
40.738863,-74.026698,"River",7
40.757306,-73.983785,"River",7
40.707418,-74.004404,"River",6
40.77381,-73.943966,"River",6
40.77168,-74.020128,"River",6
40.76878,-74.01686,"River",6
40.71136,-74.017816,"River",8
40.76878,-74.01686,"River",6
40.72035,-73.96334,"River",6
40.74838,-74.008225,"River",5
40.744307,-73.959668,"River",6
40.704733,-74.004639,"River",7
40.76878,-74.01686,"River",6
40.76878,-74.01686,"River",6
40.779714,-73.988745,"River",6
40.779714,-73.988745,"River",7
40.732039,-73.974166,"River",5
40.751385,-74.004314,"River",7
40.762476,-73.974106,"River",7
40.716245,-74.032961,"River",7
40.76878,-74.01686,"River",6
40.812306,-73.934663,"River",7
40.721531,-73.962351,"River",6
40.738857,-74.026704,"River",6
40.721531,-73.962351,"River",6
40.76878,-74.01686,"River",6
40.75894,-73.978613,"River",6
40.755907,-73.984333,"River",6
40.725716,-73.95187,"River",6
40.751502,-74.008108,"River",6
40.761734,-73.96958,"River",6
40.76878,-74.01686,"River",5
40.760932,-73.963916,"River",6
40.800415,-74.068913,"River",7
40.76878,-74.01686,"River",6
40.76878,-74.01686,"River",6
40.704576,-74.003213,"River",7
40.720756,-74.000761,"River",6
40.730347,-74.010243,"River",6
40.730347,-74.010243,"River",6
40.730347,-74.010243,"River",7
40.707681,-74.033567,"River",6
