id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
36491,SJDS,small_airport,"Fábrica Fortaleza Airport",-3.9272220134735107,-38.50055694580078,66,SA,BR,BR-CE,Eusébio,0,SJDS,,,,,,50,2008-06-24T09:40:26+00:00
36395,SIZC,small_airport,"Fazenda Fenix Airport",-20.779443740844727,-41.99555587768555,1542,SA,BR,BR-MG,"Faria Lemos",0,SIZC,,,,,,50,2008-06-24T09:40:26+00:00
35509,SDFN,small_airport,"Fazenda São Francisco Airport",-23.475,-49.543887,1703,SA,BR,BR-SP,Fartura,0,SNSF,,SNSF,,,SDFN,50,2017-06-10T12:29:39+00:00
35893,SICP,small_airport,"Doutor Walter Beckert Airport",-23.97166633605957,-51.323612213134766,2779,SA,BR,BR-PR,Faxinal,0,SICP,,,,,,50,2008-06-24T09:40:26+00:00
533,SWFJ,closed,"Alcimar Leitão Airport",-8.1655797958374,-70.352996826172,394,SA,BR,BR-AC,Feijó,0,SWFJ,,SWFJ,,https://en.wikipedia.org/wiki/Old_Feij%C3%B3_Airport,"FEJ, Feijó Airport",50,2015-11-29T13:16:50+00:00
37208,SNOU,small_airport,"Feijó Airport",-8.140832901001,-70.347221374512,394,SA,BR,BR-AC,Feijó,0,SNOU,FEJ,,,https://en.wikipedia.org/wiki/Feij%C3%B3_Airport,"Novo Aeródromo de Feijó",50,2015-11-29T13:28:04+00:00
405,SNTT,small_airport,"Tranquilo Restolin Airport",-18.75819969177246,-45.107601165771484,2009,SA,BR,BR-MG,Felixlândia,0,SNTT,,SNTT,,,,50,2008-06-24T09:40:26+00:00
36164,SION,closed,"Rio Negro Airport",-11.6444444656,-54.071388244599994,3445,SA,BR,BR-MT,"Feliz Natal",0,SION,,,,,,50,2010-06-04T14:42:39+00:00
36151,SINZ,small_airport,"Xanadu Airport",-25.43805694580078,-50.52777862548828,2796,SA,BR,BR-PR,"Fernandes Pinheiro",0,SINZ,,,,,,50,2008-06-24T09:40:26+00:00
37600,SSOO,small_airport,"Estância J.D.S Airport",-22.337221145629883,-49.54305648803711,1903,SA,BR,BR-SP,Fernão,0,SSOO,,,,,,50,2008-06-24T09:40:26+00:00
