Time,CPU (%),RAM (%),TCP Out (MB)
2019.6638222983256,0.33,12.46,0
2019.6638242009133,0.37,12.47,0
2019.6638261035007,0.27,12.47,0
2019.6638280060884,0.21,12.47,0
2019.6638299086758,0.28,12.46,0
2019.6638318112632,0.38,12.46,0
2019.6638337138509,0.26,12.46,0
2019.6638356164383,0.54,12.48,0
2019.663837519026,0.31,12.47,0
2019.6638394216134,0.34,12.47,0
2019.6638413242008,0.53,12.47,0
2019.6638432267885,0.49,12.47,0
2019.6638451293759,0.43,12.49,0
2019.6638470319635,0.29,12.48,0
2019.663848934551,0.29,12.47,0
2019.6638508371384,0.5,12.48,0
2019.663852739726,0.23,12.48,0
2019.6638546423135,0.32,12.48,0
2019.6638565449011,0.2,12.47,0
2019.6638584474886,0.25,12.47,0
2019.663860350076,0.38,12.43,0
2019.6638622526636,0.26,12.43,0
2019.663864155251,0.43,12.45,0
2019.6638660578387,0.3,12.47,0
2019.6638679604262,0.22,12.47,0
2019.6638698630136,0.49,12.47,0
2019.6638717656012,0.21,12.46,0
2019.6638736681887,0.38,12.48,0
2019.6638755707763,0.22,12.48,0
2019.6638774733638,0.26,12.48,0
2019.6638793759512,0.43,12.47,0
2019.6638812785388,0.29,12.47,0
2019.6638831811263,0.39,12.48,0
2019.663885083714,0.2,12.47,0
2019.6638869863013,0.4,12.48,0
2019.6638888888888,0.38,12.49,0
2019.6638907914764,0.22,12.49,0
2019.6638926940639,0.22,12.48,0
2019.6638945966515,0.37,12.48,0
2019.663896499239,0.2,12.47,0
2019.6638984018264,0.37,12.48,0
2019.663900304414,0.26,12.48,0
2019.6639022070015,0.21,12.48,0
2019.663904109589,0.47,12.49,0
2019.6639060121765,0.32,12.48,0
2019.663907914764,0.38,12.48,0
2019.6639098173516,0.25,12.47,0
2019.663911719939,0.25,12.47,0
2019.6639136225267,0.4,12.5,0
2019.6639155251141,0.2,12.48,0
2019.6639174277016,0.28,12.48,0
2019.6639193302892,0.2,12.48,0
2019.6639212328766,0.19,12.48,0
2019.6639231354643,0.39,12.49,0
2019.6639250380517,0.22,12.48,0.04
2019.6639269406392,0.46,12.49,0
2019.6639288432268,0.17,12.49,0
2019.6639307458142,0.23,12.49,0
2019.663932648402,0.37,12.49,0
2019.6639345509893,0.22,12.47,0
2019.6639364535768,0.41,12.47,0
2019.6639383561644,0.19,12.47,0
2019.6639402587518,0.23,12.47,0
2019.6639421613395,0.39,12.48,0
2019.663944063927,0.34,12.49,0
2019.6639459665143,0.31,12.49,0
2019.663947869102,0.16,12.49,0
2019.6639497716894,0.19,12.49,0
2019.663951674277,0.33,12.5,0
2019.6639535768645,0.2,12.49,0
2019.663955479452,0.28,12.49,0
2019.6639573820396,0.17,12.49,0
2019.663959284627,0.24,12.49,0
2019.6639611872147,0.3,12.5,0
2019.663963089802,0.19,12.5,0
2019.6639649923895,0.29,12.5,0
2019.6639668949772,0.2,12.5,0
2019.6639687975646,0.25,12.5,0
2019.6639707001523,0.31,12.51,0
2019.6639726027397,0.25,12.47,0
2019.6639745053271,0.29,12.47,0
2019.6639764079148,0.2,12.47,0
2019.6639783105022,0.18,12.47,0
2019.6639802130899,0.2,12.47,0
2019.6639821156773,0.32,12.49,0
2019.6639840182647,0.43,12.48,0
2019.6639859208524,0.3,12.47,0
2019.6639878234398,0.21,12.47,0
2019.6639897260275,0.26,12.48,0
2019.663991628615,0.44,12.5,0
2019.6639935312023,0.28,12.5,0
2019.66399543379,0.23,12.49,0
2019.6639973363774,0.2,12.5,0
2019.663999238965,0.2,12.49,0
2019.6640011415525,0.59,12.49,0
2019.66400304414,0.43,12.49,0
2019.6640049467276,0.2,12.48,0
2019.664006849315,0.19,12.48,0
2019.6640087519027,0.19,12.48,0
2019.66401065449,0.38,12.49,0
2019.6640125570775,0.34,12.49,0
2019.6640144596652,0.2,12.49,0
2019.6640163622526,0.2,12.49,0
2019.6640182648403,0.2,12.48,0
2019.6640201674277,0.38,12.5,0
2019.664022070015,0.34,12.49,0
2019.6640239726028,0.17,12.49,0
2019.6640258751902,2.1,12.48,0
2019.6640277777778,0.19,12.48,0
2019.6640296803653,0.37,12.49,0
2019.6640315829527,0.25,12.49,0
2019.6640334855404,0.22,12.49,0
2019.6640353881278,0.24,12.49,0
2019.6640372907154,0.19,12.49,0
2019.6640391933029,0.33,12.5,0
2019.6640410958903,0.44,12.45,0
2019.664042998478,0.2,12.45,0
2019.6640449010654,0.2,12.45,0
2019.664046803653,0.17,12.45,0
2019.6640487062405,0.2,12.46,0
2019.664050608828,0.62,12.48,0
2019.6640525114155,0.2,12.47,0
2019.664054414003,0.19,12.47,0
2019.6640563165906,0.2,12.47,0
2019.664058219178,0.39,12.49,0
2019.6640601217655,0.45,12.5,0
2019.6640620243531,0.18,12.49,0
2019.6640639269406,0.3,12.49,0
2019.6640658295282,0.28,12.49,0
2019.6640677321157,0.2,12.49,0
2019.6640696347033,0.46,12.5,0
2019.6640715372907,0.17,12.5,0
2019.6640734398782,0.19,12.48,0
2019.6640753424658,0.16,12.49,0
2019.6640772450532,0.19,12.49,0
2019.664079147641,0.46,12.51,0
2019.6640810502283,0.19,12.5,0
2019.6640829528158,0.19,12.5,0
2019.6640848554034,0.19,12.49,0
2019.6640867579908,0.16,12.49,0
2019.6640886605785,0.45,12.51,0
2019.664090563166,0.18,12.49,0
2019.6640924657534,0.16,12.49,0
2019.664094368341,0.2,12.49,0
2019.6640962709284,0.17,12.49,0
2019.664098173516,0.47,12.51,0
2019.6641000761035,0.25,12.49,0.05
2019.664101978691,0.25,12.49,0.06
2019.6641038812786,0.3,12.49,0.06
2019.664105783866,0.17,12.49,0.01
2019.6641076864537,0.38,12.5,0
2019.6641095890411,0.17,12.5,0
2019.6641114916285,0.13,12.5,0
2019.6641133942162,0.17,12.5,0
2019.6641152968036,0.21,12.5,0
2019.6641171993913,0.39,12.52,0
2019.6641191019787,0.14,12.51,0
2019.6641210045661,0.14,12.51,0
2019.6641229071538,0.12,12.51,0
2019.6641248097412,0.13,12.51,0
2019.6641267123289,2.44,12.5,0
2019.6641286149163,0.3,12.49,0
2019.6641305175037,0.12,12.47,0
2019.6641324200914,0.16,12.47,0
2019.6641343226788,0.19,12.47,0
2019.6641362252665,0.28,12.48,0
2019.664138127854,0.2,12.5,0
2019.6641400304413,1.36,12.5,0
2019.664141933029,0.17,12.5,0
2019.6641438356164,0.13,12.5,0
2019.664145738204,0.26,12.5,0
2019.6641476407915,0.29,12.5,0
2019.664149543379,0.12,12.48,0
2019.6641514459666,0.15,12.48,0
2019.664153348554,0.15,12.47,0
2019.6641552511417,0.46,12.46,0
2019.664157153729,0.41,12.49,0
2019.6641590563165,0.22,12.5,0
2019.6641609589042,0.11,12.51,0
2019.6641628614916,0.15,12.51,0
2019.6641647640793,0.19,12.5,0
2019.6641666666667,0.29,12.51,0
2019.6641685692541,0.1,12.5,0
2019.6641704718418,0.09,12.5,0
2019.6641723744292,0.33,12.51,0
2019.6641742770169,0.23,12.5,0
2019.6641761796043,0.3,12.52,0
2019.6641780821917,0.13,12.5,0
2019.6641799847794,0.11,12.5,0
2019.6641818873668,0.11,12.5,0
2019.6641837899544,0.23,12.5,0
2019.6641856925419,0.3,12.51,0
2019.6641875951293,0.16,12.51,0
2019.664189497717,0.15,12.51,0
2019.6641914003044,0.1,12.51,0
2019.664193302892,0.23,12.5,0
2019.6641952054795,0.32,12.51,0
2019.664197108067,0.09,12.51,0
2019.6641990106546,0.14,12.51,0
2019.664200913242,0.13,12.51,0
2019.6642028158296,0.3,12.5,0
2019.664204718417,0.11,12.5,0
2019.6642066210045,0.28,12.53,0
2019.6642085235922,0.14,12.51,0
2019.6642104261796,0.15,12.51,0
2019.6642123287672,0.4,12.5,0
2019.6642142313547,0.11,12.48,0
2019.664216133942,0.3,12.51,0
2019.6642180365297,0.11,12.49,0
2019.6642199391172,0.15,12.49,0
2019.6642218417048,0.4,12.49,0
2019.6642237442923,0.15,12.49,0
2019.6642256468797,0.37,12.52,0
2019.6642275494673,0.15,12.51,0
2019.6642294520548,0.34,12.51,0
2019.6642313546424,0.37,12.51,0
2019.6642332572299,0.15,12.5,0.02
2019.6642351598173,0.32,12.51,0
2019.664237062405,0.11,12.51,0
2019.6642389649924,0.09,12.51,0
2019.66424086758,0.28,12.51,0
2019.6642427701674,0.14,12.51,0
2019.6642446727549,0.29,12.52,0
2019.6642465753425,0.12,12.52,0
2019.66424847793,0.12,12.52,0
2019.6642503805176,0.25,12.51,0
2019.664252283105,0.09,12.51,0
2019.6642541856925,0.27,12.52,0
2019.6642560882801,0.12,12.52,0
2019.6642579908676,0.13,12.52,0
2019.6642598934552,0.31,12.51,0
2019.6642617960426,0.18,12.51,0
2019.66426369863,0.35,12.52,0
2019.6642656012177,0.1,12.51,0
2019.6642675038051,0.1,12.51,0
2019.6642694063928,0.36,12.5,0
2019.6642713089802,0.14,12.5,0
2019.6642732115677,0.1,12.5,0
2019.6642751141553,0.27,12.51,0
2019.6642770167427,0.11,12.5,0
2019.6642789193304,0.22,12.51,0
2019.6642808219178,0.15,12.51,0
2019.6642827245053,0.13,12.51,0
2019.664284627093,0.24,12.51,0
2019.6642865296803,0.19,12.51,0
2019.664288432268,0.3,12.52,0
2019.6642903348554,0.1,12.52,0
2019.6642922374429,0.14,12.52,0
2019.6642941400305,0.35,12.54,0
2019.664296042618,0.17,12.51,0
2019.6642979452056,0.23,12.49,0
2019.664299847793,0.17,12.49,0
2019.6643017503804,0.08,12.49,0
2019.664303652968,0.24,12.5,0
2019.6643055555555,0.15,12.5,0
2019.6643074581432,0.21,12.51,0
2019.6643093607306,0.12,12.51,0
2019.664311263318,0.19,12.51,0
2019.6643131659057,0.27,12.52,0
2019.6643150684931,0.23,12.51,0
2019.6643169710808,0.27,12.5,0
2019.6643188736682,0.11,12.5,0
2019.6643207762556,0.14,12.5,0
2019.6643226788433,0.4,12.51,0
2019.6643245814307,0.13,12.5,0
2019.6643264840184,0.44,12.51,0
2019.6643283866058,0.19,12.5,0
2019.6643302891932,0.26,12.51,0
2019.6643321917809,2.33,12.57,0.01
2019.6643340943683,4.04,12.82,0
2019.664335996956,0.51,12.54,0
2019.6643378995434,0.14,12.54,0
2019.6643398021308,0.19,12.54,0
2019.6643417047185,0.19,12.54,0
2019.664343607306,0.46,12.53,0
2019.6643455098936,0.32,12.52,0
2019.664347412481,0.15,12.52,0
2019.6643493150684,0.19,12.52,0
2019.664351217656,0.13,12.51,0
2019.6643531202435,0.36,12.51,0
2019.6643550228312,0.22,12.5,0
2019.6643569254186,0.19,12.5,0
2019.664358828006,0.17,12.49,0
2019.6643607305937,0.17,12.49,0
2019.664362633181,0.32,12.51,0
2019.6643645357688,0.24,12.51,0
2019.6643664383562,0.1,12.51,0
2019.6643683409436,0.13,12.51,0
2019.6643702435313,0.15,12.51,0
2019.6643721461187,0.32,12.52,0
2019.6643740487063,0.3,12.51,0
2019.6643759512938,0.25,12.51,0
2019.6643778538812,0.12,12.51,0
2019.6643797564689,0.15,12.51,0
2019.6643816590563,0.29,12.52,0
2019.664383561644,0.5,12.49,0
2019.6643854642314,0.16,12.49,0
2019.6643873668188,0.18,12.49,0
2019.6643892694065,0.15,12.49,0
2019.6643911719939,0.26,12.51,0
2019.6643930745815,0.26,12.52,0
2019.664394977169,0.18,12.52,0
2019.6643968797564,0.17,12.52,0
2019.664398782344,0.18,12.52,0
2019.6644006849315,0.52,12.52,0
2019.6644025875191,0.39,12.49,0
2019.6644044901066,0.21,12.49,0
2019.664406392694,0.16,12.49,0
2019.6644082952816,0.12,12.49,0
2019.664410197869,0.24,12.49,0
2019.6644121004567,0.52,12.52,0
2019.6644140030442,0.13,12.52,0
